event,time,hopform,hopto,from,to,,id,length
#3,0.151230854,1," 2	",1,8,0,46,551
#18,0.61892946,8," 6	",8,6,0,47,825
#25,0.641709173,5," 6	",5,8,0,48,372
#36,0.734964421,9," 8	",9,8,0,49,587
#43,0.948989525,5," 0	",5,1,1,50,930
#54,0.967958094,5," 0	",5,1,2,51,181
#68,1.344046844,9," 6	",9,1,1,53,745
#87,1.505784259,0," 1	",0,1,0,54,385
#97,1.610345484,0," 2	",0,8,1,56,210
#104,1.614002075,7," 6	",7,8,0,57,739
#123,1.789565339,9," 6	",9,6,2,58,212
#130,1.914954771,5," 6	",5,8,3,59,175
#141,2.007114632,7," 5	",7,1,1,60,996
#159,2.040314258,2," 4	",2,8,0,62,919
#162,2.040892216,3," 4	",3,6,0,63,981
#181,2.157269668,2," 4	",2,6,1,64,297
#192,2.189604485,3," 4	",3,6,1,65,734
#203,2.299195165,7," 6	",7,8,2,66,420
#214,2.320571148,8," 6	",8,6,2,67,515
#221,2.617283625,2," 4	",2,6,2,68,496
#235,2.922974017,5," 6	",5,8,4,70,683
#246,2.999388174,0," 2	",0,8,2,71,505
#264,3.164706419,3," 4	",3,8,2,73,867
#275,3.217230512,2," 4	",2,8,3,74,539
#286,3.246952077,6," 8	",6,8,2,75,833
#293,3.315880821,2," 4	",2,8,4,76,171
#304,3.368393479,5," 6	",5,8,5,77,435
#315,3.473121259,3," 4	",3,8,3,78,256
#326,3.675471698,3," 4	",3,8,4,79,682
#337,3.695784157,3," 1	",3,1,5,80,616
#341,3.700712157,3," 1	",3,1,6,81,765
#351,3.845221869,4," 8	",4,8,0,82,354
#361,4.015212358,3," 1	",3,1,7,84,538
#368,4.212344269,8," 4	",8,1,4,85,451
#383,4.416726731,2," 4	",2,8,5,86,992
#394,4.628327289,5," 6	",5,6,6,87,267
#401,4.759860038,1," 2	",1,6,3,88,1017
#416,5.033871088,3," 1	",3,1,8,89,656
#423,5.123625371,0," 5	",0,6,3,90,238
#434,5.351952232,8," 4	",8,1,5,91,1017
#449,5.409609931,3," 4	",3,6,9,92,723
#460,5.872783538,7," 5	",7,1,3,93,356
#475,5.885142055,1," 2	",1,6,4,94,454
#493,5.911920729,3," 4	",3,6,10,96,402
#504,6.011486782,0," 2	",0,8,4,97,239
#519,6.057494707,3," 4	",3,6,11,98,863
#530,6.085145847,5," 0	",5,1,7,99,509
#547,6.244062186,9," 6	",9,6,3,102,837
#554,6.379843693,6," 5	",6,1,4,103,139
#569,6.516888246,7," 6	",7,8,4,104,822
#572,6.517706532,8," 6	",8,6,8,105,796
#590,6.649756348,5," 6	",5,6,8,107,435
#597,6.738528046,8," 6	",8,6,10,108,669
#607,6.838135684,9," 8	",9,8,4,110,858
#614,6.90521586,0," 5	",0,6,5,111,522
#625,6.916999092,0," 5	",0,6,6,112,469
#636,7.105294067,0," 2	",0,8,7,113,216
#651,7.116504093,3," 1	",3,1,12,114,895
#654,7.120365047,4," 8	",4,8,1,115,325
#665,7.144185572,1," 2	",1,8,5,116,208
#680,7.261398076,8," 6	",8,6,11,117,257
#687,7.281461915,6," 5	",6,1,6,118,475
#702,7.304023044,3," 1	",3,1,13,119,304
#709,7.441355418,8," 4	",8,1,12,120,931
#724,7.51927299,0," 5	",0,6,8,121,881
#735,7.544022148,4," 6	",4,6,2,122,349
#742,7.614990849,3," 4	",3,8,14,123,197
#753,7.779546722,4," 2	",4,1,3,124,1013
#764,7.893159486,0," 5	",0,6,9,125,551
#775,7.952940449,0," 2	",0,8,10,126,542
#790,8.259733314,2," 4	",2,8,6,127,988
#801,8.29647545,5," 6	",5,6,9,128,937
#808,8.326610243,0," 5	",0,6,11,129,329
#819,8.332733995,8," 4	",8,1,13,130,457
#834,8.356621031,7," 6	",7,6,5,131,745
#838,8.362982375,1," 2	",1,8,6,132,703
#856,8.453791291,4," 2	",4,1,4,133,734
#867,8.482432822,6," 5	",6,1,7,134,987
#882,8.601112053,7," 6	",7,8,6,135,215
#896,8.85090842,9," 8	",9,8,5,137,721
#903,8.977840975,0," 1	",0,1,12,138,843
#910,9.221172885,2," 4	",2,6,7,139,928
#921,9.874174747,4," 8	",4,8,5,140,412
